Component,Units,Author,Species,Weight,Feed,Typefood,Value,concatenate
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Set,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Set_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,86,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,9,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Nov,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Nov_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,89,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,6,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Jan,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Jan_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,88,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,3,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mar,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mar_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,88,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,4,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Mayo2,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Mayo2_Future foods
Water,g/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,88.17866667,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Protein (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,27.52784919,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Chitin corrected protein,g/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Chitin,g/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Ca (mg),mg/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
I (ug),ug/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Fe (mg),mg/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Zn (mg),mg/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Vit. B12 (ug),ug/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Vitamin D2(µg),ug/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Vitamin D3,ug/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Vit. D (ug),ug/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
ALA 18:3 n-3 (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
EPA 20:5 n-3 (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
DPA 22:5 n-3 (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
DHA 22:6 n-3 (g),g/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Vit. A (ug),ug/100g,Gomez Ordonez 2010,Sugar kelp,Dry weight,WildcaughtSpain,Future foods,NA,Gomez-Ordonez 2010_Sugar kelp_Dry weight_WildcaughtSpain_Future foods
Water,g/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,88.17866667,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Protein (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,6,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Chitin corrected protein,g/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Chitin,g/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Ca (mg),mg/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,810,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
I (ug),ug/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,15900,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Fe (mg),mg/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Zn (mg),mg/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Vit. B12 (ug),ug/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Vitamin D2(µg),ug/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Vitamin D3,ug/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Vit. D (ug),ug/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
ALA 18:3 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
EPA 20:5 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
DPA 22:5 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
DHA 22:6 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Vit. A (ug),ug/100g,Pereira 2011,Sugar kelp,Dry weight,min,Future foods,40,Pereira 2011_Sugar kelp_Dry weight_min_Future foods
Water,g/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,88.17866667,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Protein (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,26,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Chitin corrected protein,g/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Chitin,g/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Ca (mg),mg/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
I (ug),ug/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Fe (mg),mg/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Zn (mg),mg/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Vit. B12 (ug),ug/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Vitamin D2(µg),ug/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Vitamin D3,ug/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Vit. D (ug),ug/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
ALA 18:3 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
EPA 20:5 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
DPA 22:5 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
DHA 22:6 n-3 (g),g/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Vit. A (ug),ug/100g,Pereira 2011,Sugar kelp,Dry weight,max,Future foods,NA,Pereira 2011_Sugar kelp_Dry weight_max_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,88.17866667,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Protein (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Chitin corrected protein,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Chitin,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Ca (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
I (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Fe (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Zn (mg),mg/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Vit. B12 (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Vitamin D2(µg),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Vitamin D3,ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Vit. D (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
ALA 18:3 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
EPA 20:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,0.055,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
DPA 22:5 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
DHA 22:6 n-3 (g),g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,0.002,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Vit. A (ug),ug/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-Mayo1,Future foods,NA,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-Mayo1_Future foods
Water,g/100g,Marinho et al 2015,Sugar kelp,Dry weight,Monoculture-jun,Future foods,88.17866667,Marinho et al 2015_Sugar kelp_Dry weight_Monoculture-jun_Future foods
